# CC-CEDICT converted to Zhuyin by tools/build_zhuyin_dictionary.py
# key<TAB>candidate1 candidate2 ...
# Candidates ranked with McBopomofo phrase.occ frequency data
ㄇ	姆 嘸 呣
ㄕㄣㄔㄡㄉㄚㄏㄣ	深仇大恨
ㄕㄣㄕㄣㄉㄠㄉㄠ	神神叨叨 神神道道
ㄕㄣㄕㄣㄒㄧㄥㄕ	審慎行事
ㄕㄣㄕㄣㄒㄩㄝㄗ	莘莘學子
ㄕㄣㄘㄞㄈㄟㄧㄤ	神采飛揚
ㄕㄣㄘㄥㄓㄥㄈㄨ	深層政府
ㄕㄣㄙㄏㄨㄤㄏㄨ	神思恍惚
ㄕㄣㄙㄨㄛㄒㄧㄥ	伸縮性
ㄕㄣㄩㄢㄉㄧㄓㄣ	深源地震
ㄕㄤˉㄨˋㄅㄨˋ	商務部
ㄕㄤˉㄨˋㄘㄤˉ	商務艙
ㄕㄤˋㄅㄟˋㄗ˙	上輩子
ㄕㄤˋㄅㄢˋㄕˊ	上半時
ㄕㄤˋㄍㄡˉㄖ˙	上鉤兒
ㄕㄤˋㄏㄞˇㄕˋ	上海市
ㄕㄤˋㄖㄠˊㄕˋ	上饒市
ㄕㄤˋㄧˉㄍㄜ˙	上一個
ㄕㄤˋㄧˉㄏㄠˋ	上一號
ㄕㄤˋㄧˉㄧㄝˋ	上一頁
ㄕㄤˋㄧˋㄩㄢˋ	上議院
ㄕㄤˋㄨㄟˋㄘˊ	上位詞
ㄕㄤˋㄩˊㄑㄩˉ	上虞區
ㄕㄤㄅㄢㄅㄨㄈㄣ	上半部分
ㄕㄤㄅㄢㄕㄐㄧㄢ	上班時間
ㄕㄤㄆㄧㄣㄌㄧㄤ	商品糧
ㄕㄤㄆㄧㄣㄏㄨㄚ	商品化
ㄕㄤㄇㄣㄋㄩㄒㄩ	上門女婿
ㄕㄤㄈㄥㄅㄞㄙㄨ	傷風敗俗
ㄕㄤㄊㄤㄎㄜㄐㄧ	商湯科技
ㄕㄤㄊㄧㄥㄅㄨㄕ	傷停補時
ㄕㄤㄊㄨㄥㄉㄧㄠ	上同調
ㄕㄤㄌㄧㄣㄒㄧㄢ	上林縣
ㄕㄤㄏㄞㄅㄞㄘㄞ	上海白菜
ㄕㄤㄏㄣㄌㄟㄌㄟ	傷痕累累
ㄕㄤㄐㄧㄣㄒㄧㄣ	上進心
ㄕㄤㄐㄧㄤㄐㄩㄣ	上將軍
ㄕㄤㄑㄩㄝㄐㄧㄝ	上確界
ㄕㄤㄒㄧㄚㄔㄨㄤ	上下床
ㄕㄤㄕㄨㄟㄒㄧㄢ	商水縣
ㄕㄤㄖㄣㄧㄣㄏㄤ	商人銀行
ㄕㄤㄘㄢㄖㄣㄩㄢ	傷殘人員
ㄕㄤㄙㄨㄈㄚㄩㄢ	上訴法院
ㄕㄤㄜㄓㄥㄇㄣㄔ	上顎正門齒
ㄕㄤㄧㄝㄅㄢㄅㄣ	商業版本
ㄕㄤㄧㄝㄐㄧㄍㄡ	商業機構
ㄕㄤㄧㄝㄧㄣㄏㄤ	商業銀行
ㄕㄤㄧㄝㄧㄥㄩㄥ	商業應用
ㄕㄥˇㄍㄤˇㄠˋ	省港澳
ㄕㄥˇㄗˋㄏㄠˋ	省字號
ㄕㄥˉㄆㄤˊㄗˋ	聲旁字
ㄕㄥˉㄌㄥˇㄗˋ	生冷字
ㄕㄥˉㄏㄞˊㄗ˙	生孩子
ㄕㄥˉㄓˊㄌㄧˋ	生殖力
ㄕㄥˉㄓˊㄑㄧˋ	生殖器
ㄕㄥˉㄕˊㄍㄠˉ	生石膏
ㄕㄥˉㄖˋㄎㄚˇ	生日卡
ㄕㄥˉㄘˊㄅㄣˇ	生詞本
ㄕㄥˉㄨˋㄊㄧˇ	生物體
ㄕㄥˉㄨˋㄋㄥˊ	生物能
ㄕㄥˉㄨˋㄓㄢˋ	生物戰
ㄕㄥˉㄩˋㄌㄩˋ	生育率
ㄕㄥˋㄈㄨˋㄩˋ	勝負慾
ㄕㄥˋㄌㄧˋㄖˋ	勝利日
ㄕㄥˋㄏㄨˊㄢˉ	聖胡安
ㄕㄥˋㄓㄡˉㄕˋ	嵊州市
ㄕㄥㄅㄧㄉㄜㄅㄠ	聖彼得堡
ㄕㄥㄆㄧㄥㄕㄐㄧ	生平事跡
ㄕㄥㄇㄧㄕㄨㄈㄢ	生米熟飯
ㄕㄥㄇㄧㄢㄊㄨㄢ	生麵糰
ㄕㄥㄇㄧㄥㄒㄧㄢ	生命線
ㄕㄥㄉㄚㄨㄏㄨㄟ	盛大舞會
ㄕㄥㄉㄢㄌㄠㄖㄣ	聖誕老人
ㄕㄥㄉㄧㄠㄩㄧㄢ	聲調語言
ㄕㄥㄉㄧㄧㄚㄍㄜ	聖地牙哥 聖地亞哥
ㄕㄥㄊㄞㄌㄩㄧㄡ	生態旅遊
ㄕㄥㄊㄞㄍㄨㄉㄠ	生態孤島
ㄕㄥㄊㄞㄗㄨㄐㄧ	生態足跡
ㄕㄥㄊㄨㄥㄧㄣㄕ	生酮飲食
ㄕㄥㄋㄩㄓㄣㄉㄜ	聖女貞德
ㄕㄥㄌㄠㄅㄧㄥㄙ	生老病死
ㄕㄥㄌㄧㄗㄞㄨㄤ	勝利在望
ㄕㄥㄌㄧㄙㄅㄧㄝ	生離死別
ㄕㄥㄌㄨㄒㄧㄧㄚ	聖露西亞 聖盧西亞
ㄕㄥㄏㄜㄌㄟㄋㄚ	聖赫勒拿
ㄕㄥㄏㄨㄚㄒㄩㄝ	生化學
ㄕㄥㄏㄨㄚㄨㄑㄧ	生化武器
ㄕㄥㄏㄨㄛㄈㄤㄕ	生活方式
ㄕㄥㄏㄨㄛㄍㄨㄢ	生活館
ㄕㄥㄏㄨㄛㄕㄜㄕ	生活設施
ㄕㄥㄏㄨㄟㄐㄧㄝ	聖灰節
ㄕㄥㄐㄧㄅㄛㄅㄛ	生機勃勃
ㄕㄥㄑㄧㄅㄛㄅㄛ	生氣勃勃
ㄕㄥㄑㄧㄆㄥㄅㄛ	生氣蓬勃
ㄕㄥㄑㄧㄢㄩㄓㄨ	生前預囑
ㄕㄥㄒㄧㄣㄐㄧㄝ	聖心節
ㄕㄥㄓㄑㄧㄍㄨㄢ	生殖器官
ㄕㄥㄓㄒㄧㄊㄨㄥ	生殖系統
ㄕㄥㄓㄤㄐㄧㄙㄨ	生長激素
ㄕㄥㄔㄐㄧㄢㄩㄥ	省吃儉用
ㄕㄥㄔㄠㄖㄜㄇㄞ	生炒熱賣
ㄕㄥㄔㄢㄉㄢㄨㄟ	生產單位
ㄕㄥㄔㄢㄋㄥㄌㄧ	生產能力
ㄕㄥㄔㄢㄑㄧㄧㄝ	生產企業
ㄕㄥㄔㄢㄔㄥㄅㄣ	生產成本
ㄕㄥㄔㄢㄗㄌㄧㄠ	生產資料
ㄕㄥㄔㄢㄗㄨㄥㄓ	生產總值
ㄕㄥㄕㄚㄩㄉㄨㄛ	生殺予奪
ㄕㄥㄕㄥㄅㄨㄒㄧ	生生不息
ㄕㄥㄖㄎㄨㄞㄌㄜ	生日快樂
ㄕㄥㄖㄣㄋㄥㄌㄧ	勝任能力
ㄕㄥㄘㄞㄧㄡㄉㄠ	生財有道
ㄕㄥㄙㄌㄧㄐㄧㄝ	聲嘶力竭
ㄕㄥㄙㄌㄧㄝㄉㄠ	嵊泗列島
ㄕㄥㄙㄍㄨㄢㄊㄡ	生死關頭
ㄕㄥㄙㄘㄨㄣㄨㄤ	生死存亡
ㄕㄥㄙㄧㄡㄇㄧㄥ	生死有命
ㄕㄥㄙㄧㄡㄍㄨㄢ	生死攸關
ㄕㄥㄙㄨㄛㄍㄨㄛ	聲索國
ㄕㄥㄧㄡㄉㄜㄉㄥ	省油的燈
ㄕㄥㄨㄇㄟㄐㄧㄝ	生物媒介
ㄕㄥㄨㄌㄧㄒㄩㄝ	生物力學
ㄕㄥㄨㄍㄠㄈㄣㄗ	生物高分子
ㄕㄥㄨㄍㄨㄥㄔㄥ	生物工程
ㄕㄥㄨㄎㄜㄌㄧㄢ	生無可戀
ㄕㄥㄨㄖㄢㄌㄧㄠ	生物燃料
ㄕㄥㄨㄘㄜㄉㄧㄥ	生物測定
ㄕㄥㄨㄘㄞㄌㄧㄠ	生物材料
ㄕㄥㄩㄉㄧㄥㄌㄧ	剩餘定理
ㄕㄥㄩㄝㄙㄜㄈㄨ	聖約瑟夫
ㄕㄦㄅㄧㄢㄒㄧㄥ	十二邊形
ㄕㄦㄐㄧㄠㄒㄧㄥ	十二角形
ㄕㄦㄒㄧㄥㄗㄨㄛ	十二星座
ㄕㄧㄡㄅㄚㄐㄧㄡ	十有八九
ㄕㄧㄡㄙㄨㄛㄨㄣ	時有所聞
ㄕㄧㄢㄕㄍㄢㄖㄢ	實驗室感染
ㄕㄨˉㄅㄨˋㄓˉ	殊不知
ㄕㄨˉㄆㄧˊㄖ˙	書皮兒
ㄕㄨˉㄉㄞˉㄗ˙	書呆子
ㄕㄨˉㄌㄢˊㄕˋ	舒蘭市
ㄕㄨˉㄕˋㄑㄩˉ	舒適區
ㄕㄨˉㄕˋㄧㄣˉ	舒適音
ㄕㄨˊㄉㄠˋㄖ˙	熟道兒
ㄕㄨˊㄕˊㄍㄠˉ	熟石膏
ㄕㄨˋㄇㄨˋㄗˋ	數目字
ㄕㄨˋㄐㄧˊㄕˋ	庶吉士
ㄕㄨˋㄗˋㄨㄤˇ	數字網
ㄕㄨㄅㄧㄠㄉㄧㄢ	鼠標墊
ㄕㄨㄅㄨㄕㄥㄕㄨ	數不勝數
ㄕㄨㄇㄛㄓㄨㄤㄓ	輸墨裝置
ㄕㄨㄇㄣㄕㄨㄌㄨ	熟門熟路
ㄕㄨㄇㄧㄢㄐㄧㄢ	舒眠鍵
ㄕㄨㄉㄚㄓㄠㄈㄥ	樹大招風
ㄕㄨㄉㄨㄐㄧㄔㄤ	鼠肚雞腸
ㄕㄨㄋㄧㄠㄍㄨㄢ	輸尿管
ㄕㄨㄌㄧㄢㄍㄨㄥ	熟練工
ㄕㄨㄌㄨㄢㄍㄨㄢ	輸卵管
ㄕㄨㄍㄢㄌㄧㄑㄧ	疏肝理氣
ㄕㄨㄏㄨㄚㄐㄧㄚ	書畫家
ㄕㄨㄐㄧㄠㄒㄩㄝ	實物教學
ㄕㄨㄐㄧㄡㄊㄧㄢ	數九天
ㄕㄨㄐㄧㄥㄍㄨㄢ	輸精管
ㄕㄨㄐㄩㄔㄨㄌㄧ	數據處理
ㄕㄨㄐㄩㄕㄡㄘㄜ	數據手冊
ㄕㄨㄐㄩㄢㄐㄧㄤ	書卷獎
ㄕㄨㄑㄧㄥㄔㄨㄣ	舒慶春
ㄕㄨㄑㄧㄦㄉㄨㄛ	豎起耳朵
ㄕㄨㄑㄩㄢㄈㄟㄖ	蜀犬吠日
ㄕㄨㄒㄧㄝㄩㄧㄢ	書寫語言
ㄕㄨㄒㄩㄝㄐㄧㄚ	數學家
ㄕㄨㄒㄩㄝㄨㄌㄧ	數學物理
ㄕㄨㄔㄨㄢㄌㄧㄥ	舒喘靈
ㄕㄨㄕㄡㄉㄞㄅㄧ	束手待斃
ㄕㄨㄕㄨㄈㄨㄈㄨ	舒舒服服
ㄕㄨㄕㄨㄟㄍㄨㄢ	輸水管
ㄕㄨㄖㄣㄐㄩㄣㄗ	淑人君子
ㄕㄨㄖㄨㄕㄜㄅㄟ	輸入設備
ㄕㄨㄗㄈㄣㄆㄧㄣ	數字分頻
ㄕㄨㄗㄉㄧㄢㄌㄨ	數字電路
ㄕㄨㄗㄌㄨㄢㄕㄥ	數字孿生
ㄕㄨㄗㄏㄨㄛㄅㄧ	數字貨幣
ㄕㄨㄗㄒㄧㄣㄏㄠ	數字信號
ㄕㄨㄗㄧㄡㄇㄧㄣ	數字遊民
ㄕㄨㄘㄞㄓㄨㄥㄧ	疏財重義
ㄕㄨㄚˇㄋㄨㄥˋ	耍弄
ㄕㄨㄚˇㄏㄨㄚˊ	耍滑
ㄕㄨㄚˇㄑㄧㄢˊ	耍錢
ㄕㄨㄚˇㄕˉㄗ˙	耍獅子
ㄕㄨㄚˉㄆㄧㄥˊ	刷屏
ㄕㄨㄚˉㄌㄧㄢˇ	刷臉
ㄕㄨㄚˉㄒㄧㄣˉ	刷新
ㄕㄨㄚㄏㄨㄚㄊㄡ	耍滑頭
ㄕㄨㄚㄏㄨㄚㄓㄠ	耍花招
ㄕㄨㄚㄏㄨㄚㄧㄤ	耍花樣
ㄕㄨㄚㄒㄧㄣㄌㄩ	刷新率
ㄕㄨㄚㄒㄧㄣㄍㄜ	史瓦辛格 施瓦辛格
ㄕㄨㄚㄗㄨㄟㄆㄧ	耍嘴皮
ㄕㄨㄛˉㄇㄧㄥˊ	說明
ㄕㄨㄛˉㄉㄧㄥˋ	說定
ㄕㄨㄛˉㄉㄨㄥˋ	說動
ㄕㄨㄛˉㄊㄧㄝˇ	說帖
ㄕㄨㄛˉㄊㄨㄥˉ	說通
ㄕㄨㄛˉㄏㄨㄚˋ	說話
ㄕㄨㄛˉㄏㄨㄤˇ	說謊
ㄕㄨㄛˉㄐㄧㄠˋ	說教
ㄕㄨㄛˉㄑㄧㄣˉ	說親
ㄕㄨㄛˉㄑㄧㄥˊ	說情
ㄕㄨㄛˉㄒㄧㄠˋ	說笑
ㄕㄨㄛˉㄓㄨㄥˋ	說中
ㄕㄨㄛˉㄕㄨㄛ˙	說說
ㄕㄨㄛˉㄗㄨㄟˇ	說嘴
ㄕㄨㄛˋㄍㄨㄛˇ	碩果 蒴果
ㄕㄨㄛˋㄕㄨㄛˋ	爍爍
ㄕㄨㄛㄅㄨㄉㄧㄥ	說不定
ㄕㄨㄛㄅㄨㄊㄨㄥ	說不通
ㄕㄨㄛㄅㄨㄓㄨㄣ	說不準
ㄕㄨㄛㄇㄧㄥㄕㄨ	說明書
ㄕㄨㄛㄈㄟㄏㄨㄚ	說廢話
ㄕㄨㄛㄉㄚㄨㄅㄧ	碩大無比
ㄕㄨㄛㄉㄚㄨㄆㄥ	碩大無朋
ㄕㄨㄛㄌㄜㄙㄨㄢ	說了算
ㄕㄨㄛㄌㄡㄗㄨㄟ	說漏嘴
ㄕㄨㄛㄏㄨㄤㄓㄜ	說謊者
ㄕㄨㄛㄓㄜㄨㄢㄖ	說著玩兒
ㄕㄨㄛㄕㄨㄛㄦㄧ	說說而已
ㄕㄨㄛㄙㄢㄉㄠㄙ	說三道四
ㄕㄨㄞˇㄉㄧㄠˋ	甩掉
ㄕㄨㄞˇㄉㄨㄥˋ	甩動
ㄕㄨㄞˇㄍㄨㄛˉ	甩鍋
ㄕㄨㄞˇㄍㄨㄣˋ	甩棍
ㄕㄨㄞˉㄅㄧㄢˋ	衰變
ㄕㄨㄞˉㄉㄧㄝˉ	摔跌
ㄕㄨㄞˉㄉㄨㄢˋ	摔斷
ㄕㄨㄞˉㄊㄨㄟˊ	衰頹
ㄕㄨㄞˉㄊㄨㄟˋ	衰退
ㄕㄨㄞˉㄌㄨㄛˋ	衰落
ㄕㄨㄞˉㄏㄨㄞˋ	摔壞
ㄕㄨㄞˉㄐㄧㄝˊ	衰竭
ㄕㄨㄞˉㄐㄧㄠˇ	摔角
ㄕㄨㄞˉㄐㄧㄠˉ	摔跤 摔交
ㄕㄨㄞˉㄐㄧㄢˇ	衰減
ㄕㄨㄞˉㄒㄧㄡˇ	衰朽
ㄕㄨㄞˉㄖㄨㄛˋ	衰弱
ㄕㄨㄞˋㄌㄧㄥˇ	率領
ㄕㄨㄞˋㄒㄧㄢˉ	率先
ㄕㄨㄞˋㄒㄧㄥˋ	率性
ㄕㄨㄞㄅㄧㄢㄖㄜ	衰變熱
ㄕㄨㄞㄊㄨㄟㄑㄧ	衰退期
ㄕㄨㄞㄎㄞㄅㄤㄗ	甩開膀子
ㄕㄨㄞㄕㄡㄕㄖㄣ	率獸食人
ㄕㄨㄞㄦㄘㄠㄍㄨ	率爾操觚
ㄕㄨㄟˇㄅㄧㄠˇ	水表
ㄕㄨㄟˇㄅㄧㄢˉ	水邊
ㄕㄨㄟˇㄅㄧㄥˉ	水兵 水冰
ㄕㄨㄟˇㄆㄧㄥˊ	水平
ㄕㄨㄟˇㄇㄧㄢˋ	水面
ㄕㄨㄟˇㄉㄧㄠˉ	水貂
ㄕㄨㄟˇㄉㄧㄢˋ	水電
ㄕㄨㄟˇㄊㄧㄢˊ	水田
ㄕㄨㄟˇㄊㄧㄥˉ	水汀
ㄕㄨㄟˇㄊㄨㄣˊ	水豚
ㄕㄨㄟˇㄊㄨㄥˇ	水桶
ㄕㄨㄟˇㄋㄧㄠˇ	水鳥
ㄕㄨㄟˇㄋㄧㄡˊ	水牛
ㄕㄨㄟˇㄋㄧㄢˇ	水碾
ㄕㄨㄟˇㄌㄧㄠˊ	水療
ㄕㄨㄟˇㄌㄧㄡˊ	水流
ㄕㄨㄟˇㄌㄧㄡˋ	水鷚
ㄕㄨㄟˇㄌㄧㄣˊ	水林
ㄕㄨㄟˇㄌㄧㄤˋ	水量 水亮
ㄕㄨㄟˇㄌㄧㄥˊ	水靈
ㄕㄨㄟˇㄌㄨㄣˊ	水輪
ㄕㄨㄟˇㄌㄨㄥˊ	水龍
ㄕㄨㄟˇㄍㄨㄛˇ	水果
ㄕㄨㄟˇㄍㄨㄞˋ	水怪
ㄕㄨㄟˇㄍㄨㄢˇ	水管
ㄕㄨㄟˇㄍㄨㄢˋ	水罐
ㄕㄨㄟˇㄏㄨㄚˉ	水花
ㄕㄨㄟˇㄏㄨㄚˊ	水華
ㄕㄨㄟˇㄏㄨㄚˋ	水化
ㄕㄨㄟˇㄏㄨㄛˋ	水貨
ㄕㄨㄟˇㄏㄨㄢˋ	水患
ㄕㄨㄟˇㄐㄧㄝˇ	水解
ㄕㄨㄟˇㄐㄧㄠˇ	水餃
ㄕㄨㄟˇㄐㄧㄥˇ	水井
ㄕㄨㄟˇㄐㄧㄥˉ	水晶
ㄕㄨㄟˇㄐㄩㄣˉ	水軍
ㄕㄨㄟˇㄑㄧㄡˊ	水球
ㄕㄨㄟˇㄑㄧㄣˊ	水禽
ㄕㄨㄟˇㄑㄧㄤˉ	水槍
ㄕㄨㄟˇㄑㄩㄢˉ	水圈
ㄕㄨㄟˇㄒㄧㄚˋ	水下
ㄕㄨㄟˇㄒㄧㄡˋ	水袖
ㄕㄨㄟˇㄒㄧㄢˉ	水仙
ㄕㄨㄟˇㄒㄧㄤˉ	水箱 水鄉
ㄕㄨㄟˇㄒㄧㄤˋ	水相
ㄕㄨㄟˇㄒㄧㄥˉ	水星
ㄕㄨㄟˇㄒㄧㄥˊ	水刑
ㄕㄨㄟˇㄒㄧㄥˋ	水性
ㄕㄨㄟˇㄓㄨㄛˊ	水著
ㄕㄨㄟˇㄓㄨㄣˇ	水準
ㄕㄨㄟˇㄓㄨㄥˇ	水腫
ㄕㄨㄟˇㄔㄨㄤˊ	水床
ㄕㄨㄟˇㄖㄨㄥˊ	水溶
ㄕㄨㄟˋㄇㄧㄢˊ	睡眠
ㄕㄨㄟˋㄌㄧㄢˊ	睡蓮
ㄕㄨㄟˋㄍㄨㄢˉ	稅官 稅關
ㄕㄨㄟˋㄎㄨㄢˇ	稅款
ㄕㄨㄟˋㄐㄧㄠˋ	睡覺
ㄕㄨㄟˋㄐㄧㄣˉ	稅金
ㄕㄨㄟˋㄐㄩㄢˉ	稅捐
ㄕㄨㄟˋㄑㄧㄢˊ	稅前
ㄕㄨㄟˋㄑㄩㄣˊ	睡裙
ㄕㄨㄟˋㄒㄧㄤˉ	睡鄉
ㄕㄨㄟˋㄒㄧㄤˋ	睡相
ㄕㄨㄟˋㄒㄧㄥˇ	睡醒
ㄕㄨㄟㄆㄧㄥㄓㄡ	水平軸
ㄕㄨㄟㄇㄛㄏㄨㄚ	水墨畫
ㄕㄨㄟㄇㄣㄊㄧㄥ	水門汀
ㄕㄨㄟㄇㄥㄓㄨㄥ	睡夢中
ㄕㄨㄟㄉㄢㄑㄧㄤ	水彈槍
ㄕㄨㄟㄉㄧㄢㄓㄢ	水電站
ㄕㄨㄟㄊㄨㄅㄠㄔ	水土保持
ㄕㄨㄟㄌㄟㄌㄨㄢ	事危累卵
ㄕㄨㄟㄌㄢㄐㄧㄠ	睡懶覺
ㄕㄨㄟㄌㄧㄐㄧㄚ	水利家
ㄕㄨㄟㄌㄧㄒㄧㄤ	水里鄉
ㄕㄨㄟㄌㄧㄒㄩㄝ	水力學
ㄕㄨㄟㄌㄨㄛㄅㄛ	水蘿蔔
ㄕㄨㄟㄌㄨㄥㄉㄞ	水龍帶
ㄕㄨㄟㄌㄨㄥㄊㄡ	水龍頭
ㄕㄨㄟㄍㄨㄛㄉㄠ	水果刀
ㄕㄨㄟㄍㄨㄛㄊㄡ	睡過頭
ㄕㄨㄟㄍㄨㄛㄌㄠ	水果撈
ㄕㄨㄟㄏㄨㄓㄨㄢ	水滸傳
ㄕㄨㄟㄐㄧㄢㄅㄠ	水煎包
ㄕㄨㄟㄑㄧㄡㄔㄤ	水球場
ㄕㄨㄟㄑㄧㄥㄨㄩ	水清無魚
ㄕㄨㄟㄔㄢㄆㄧㄣ	水產品
ㄕㄨㄟㄔㄢㄧㄤㄓ	水產養殖
ㄕㄨㄟㄕㄜㄗㄨㄛ	水蛇座
ㄕㄨㄟㄕㄤㄒㄧㄤ	水上鄉
ㄕㄨㄟㄗㄨㄍㄨㄢ	水族館
ㄕㄨㄟㄗㄨㄒㄧㄤ	水族箱
ㄕㄨㄟㄘㄞㄏㄨㄚ	水彩畫
ㄕㄨㄟㄧㄡㄒㄧㄥ	示威遊行
ㄕㄨㄟㄧㄢㄍㄨㄢ	水煙管
ㄕㄨㄟㄧㄤㄙㄨㄢ	水楊酸
ㄕㄨㄟㄨㄣㄅㄧㄠ	水溫表
ㄕㄨㄟㄩㄣㄉㄨㄥ	示威運動
ㄕㄨㄢㄏㄨㄛㄐㄧ	十萬火急
ㄕㄨㄣˋㄅㄧㄢˋ	順便
ㄕㄨㄣˋㄆㄧㄥˊ	順平
ㄕㄨㄣˋㄇㄧㄣˊ	順民
ㄕㄨㄣˋㄌㄧㄡ˙	順溜
ㄕㄨㄣˋㄍㄨㄞˇ	順拐
ㄕㄨㄣˋㄏㄨㄚˊ	順滑
ㄕㄨㄣˋㄏㄨㄚˋ	順化
ㄕㄨㄣˋㄐㄧㄢˉ	瞬間
ㄕㄨㄣˋㄐㄧㄥˋ	順境
ㄕㄨㄣˋㄑㄧㄥˋ	順慶
ㄕㄨㄣˋㄒㄧㄝˊ	順斜
ㄕㄨㄣˋㄒㄧㄣˉ	順心
ㄕㄨㄣˋㄒㄧㄥˊ	順行
ㄕㄨㄣˋㄕㄨㄟˇ	順水
ㄕㄨㄣˋㄗㄨㄟˇ	順嘴
ㄕㄨㄣˋㄘㄨㄥˊ	順從
ㄕㄨㄣˋㄙㄨㄟˋ	順遂
ㄕㄨㄣㄉㄞㄧㄊㄧ	順帶一提
ㄕㄨㄣㄉㄧㄌㄧㄥ	舜帝陵
ㄕㄨㄣㄎㄡㄌㄧㄡ	順口溜
ㄕㄨㄣㄑㄧㄗㄖㄢ	順其自然
ㄕㄨㄣㄑㄧㄥㄑㄩ	順慶區
ㄕㄨㄣㄔㄤㄒㄧㄢ	順昌縣
ㄕㄨㄣㄕㄈㄨㄕㄜ	瞬時輻射
ㄕㄨㄤˇㄌㄧㄤˋ	爽亮
ㄕㄨㄤˇㄎㄨㄞ˙	爽快
ㄕㄨㄤˇㄐㄧㄝˊ	爽捷
ㄕㄨㄤˇㄐㄧㄢˋ	爽健
ㄕㄨㄤˇㄘㄨㄟˋ	爽脆
ㄕㄨㄤˉㄅㄧㄠˉ	雙標
ㄕㄨㄤˉㄅㄧㄢˉ	雙邊
ㄕㄨㄤˉㄆㄧㄣˉ	雙拼
ㄕㄨㄤˉㄇㄧㄢˋ	雙面
ㄕㄨㄤˉㄉㄨㄥˋ	霜凍
ㄕㄨㄤˉㄊㄧㄠˊ	霜條
ㄕㄨㄤˉㄊㄧㄢˉ	霜天
ㄕㄨㄤˉㄊㄨㄟˇ	雙腿
ㄕㄨㄤˉㄌㄧㄠˊ	雙遼
ㄕㄨㄤˉㄌㄧㄡˊ	雙流
ㄕㄨㄤˉㄌㄧㄢˋ	雙鏈
ㄕㄨㄤˉㄌㄨㄢˊ	雙灤
ㄕㄨㄤˉㄍㄨㄞˇ	雙拐
ㄕㄨㄤˉㄍㄨㄟˇ	雙軌
ㄕㄨㄤˉㄍㄨㄟˉ	孀閨 雙規
ㄕㄨㄤˉㄍㄨㄢˇ	雙管
ㄕㄨㄤˉㄍㄨㄢˉ	雙關
ㄕㄨㄤˉㄏㄨㄚˉ	霜花
ㄕㄨㄤˉㄏㄨㄤˊ	雙簧
ㄕㄨㄤˉㄐㄧㄝˊ	雙節
ㄕㄨㄤˉㄐㄧㄠˇ	雙腳
ㄕㄨㄤˉㄐㄧㄢˇ	雙減
ㄕㄨㄤˉㄐㄧㄢˋ	雙鍵
ㄕㄨㄤˉㄐㄧㄤˉ	雙江
ㄕㄨㄤˉㄐㄧㄤˋ	霜降
ㄕㄨㄤˉㄑㄧㄠˊ	雙橋
ㄕㄨㄤˉㄑㄧㄣˉ	雙親
ㄕㄨㄤˉㄑㄧㄥˉ	雙清
ㄕㄨㄤˉㄒㄧㄡˉ	雙休
ㄕㄨㄤˉㄒㄧㄤˋ	雙向
ㄕㄨㄤˉㄒㄧㄥˉ	雙星
ㄕㄨㄤˉㄒㄩㄝˇ	霜雪
ㄕㄨㄤˉㄔㄨㄥˊ	雙重
ㄕㄨㄤˉㄕˊㄧˉ	雙十一
ㄕㄨㄤˉㄕㄨㄟˇ	瀧水
ㄕㄨㄤˉㄕㄨㄤˉ	雙雙
ㄕㄨㄤㄅㄞㄒㄧㄢ	雙柏縣
ㄕㄨㄤㄆㄞㄒㄧㄢ	雙牌縣
ㄕㄨㄤㄇㄧㄢㄖㄣ	雙面人
ㄕㄨㄤㄇㄧㄥㄈㄚ	雙名法
ㄕㄨㄤㄈㄥㄒㄧㄢ	雙峰縣
ㄕㄨㄤㄈㄨㄌㄧㄣ	雙復磷
ㄕㄨㄤㄈㄨㄕㄨㄟ	爽膚水
ㄕㄨㄤㄊㄞㄗㄑㄩ	雙臺子區
ㄕㄨㄤㄊㄧㄔㄨㄢ	雙體船
ㄕㄨㄤㄊㄨㄇㄧㄢ	雙凸面
ㄕㄨㄤㄌㄧㄡㄑㄩ	雙流區
ㄕㄨㄤㄌㄨㄢㄑㄩ	雙灤區
ㄕㄨㄤㄍㄨㄤㄑㄧ	雙光氣
ㄕㄨㄤㄏㄨㄒㄧㄢ	雙湖縣
ㄕㄨㄤㄏㄨㄤㄉㄢ	雙黃蛋
ㄕㄨㄤㄐㄧㄠㄒㄧ	雙角犀
ㄕㄨㄤㄐㄧㄢㄅㄠ	雙肩包
ㄕㄨㄤㄑㄧㄌㄧㄣ	霜淇淋
ㄕㄨㄤㄑㄧㄠㄑㄩ	雙橋區
ㄕㄨㄤㄑㄧㄥㄑㄩ	雙清區
ㄕㄨㄤㄑㄩㄇㄧㄢ	雙曲面
ㄕㄨㄤㄑㄩㄒㄧㄢ	雙曲線
ㄕㄨㄤㄑㄩㄩㄍㄜ	雙曲餘割
ㄕㄨㄤㄒㄧㄒㄧㄤ	雙溪鄉
ㄕㄨㄤㄒㄧㄚㄅㄚ	雙下巴
ㄕㄨㄤㄒㄩㄝㄨㄟ	雙學位
ㄕㄨㄤㄓㄨㄒㄧㄡ	雙主修
ㄕㄨㄤㄔㄨㄣㄧㄣ	雙唇音
ㄕㄨㄤㄔㄨㄤㄈㄤ	雙床房
ㄕㄨㄤㄖㄣㄏㄨㄚ	雙人滑
